name	template_name	type	unique	required_level	required_skill	creation_objvars	charges	tier	value	scripts	version	can_reverse_engineer	string_name	string_detail	comments
s[unique]	s	e(weapon=1,armor=2,item=3,storyteller=4,object=5)[item]	i[0]	i	s	s	i	i	i[0]	s	i[1]	i[0]	c	c	c
st_cn_outbreak_prisoner_1	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Outbreak Prisoner	This item will spawn an outbreak prisoner combat npc.	
st_cn_outbreak_prisoner_2	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_3	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_4	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_5	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_6	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_7	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_8	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_prisoner_9	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_biologist	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_1	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_2	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_3	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_4	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_5	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_6	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_7	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_8	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_9	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_civilian_10	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_deathtrooper_1	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_deathtrooper_2	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_deathtrooper_3	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_deathtrooper_4	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_deathtrooper_5	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_deathtrooper_6	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_prisoner_1	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_prisoner_2	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_prisoner_3	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_prisoner_4	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_prisoner_5	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_prisoner_6	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_1	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_2	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_3	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_4	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_5	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_6	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
st_cn_outbreak_undead_scientist_7	object/tangible/storyteller/story_token_combat_npc.iff	storyteller						1		object.autostack	2	0	Tusken Raider	This item will spawn a tusken raider combat npc.	
