name	template_name	type	cost	max_charges	daily_uses	placement_spacing	objvar	relicLootCatergory	relic_tier	scripts	buildout_radius	allow_interior	allow_roof
s[unique]	s[none]	"e(prop=0,static_effect=1,immediate_effect=2,combat_npc=3,flavor_npc=4,other=5,costume=6,theater=7)[prop]"	i	i[100]	i[0]	f[2.0]	s[none]	s[no_loot]	i[-1]	s[none]	f	i[0]	i[0]
st_cn_outbreak_prisoner_1	object/mobile/outbreak_prisoner_m_4.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_2	object/mobile/outbreak_prisoner_m_bith_1.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_3	object/mobile/outbreak_prisoner_m_hum_1.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_4	object/mobile/outbreak_prisoner_m_hum_2.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_5	object/mobile/outbreak_prisoner_m_ith_1.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_6	object/mobile/outbreak_prisoner_m_monc_1.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_7	object/mobile/outbreak_prisoner_m_twi_1.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_8	object/mobile/outbreak_prisoner_m_wke_1.iff	combat_npc	250									1	1
st_cn_outbreak_prisoner_9	object/mobile/outbreak_prisoner_m_zab_1.iff	combat_npc	250									1	1
st_cn_outbreak_biologist	object/mobile/outbreak_undead_biologist_10.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_1	object/mobile/outbreak_undead_civilian_24.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_2	object/mobile/outbreak_undead_civilian_28.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_3	object/mobile/outbreak_undead_civilian_03.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_4	object/mobile/outbreak_undead_civilian_27.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_5	object/mobile/outbreak_undead_civilian_05.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_6	object/mobile/outbreak_undead_civilian_39.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_7	object/mobile/outbreak_undead_civilian_25.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_8	object/mobile/outbreak_undead_civilian_07.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_9	object/mobile/outbreak_undead_civilian_50.iff	combat_npc	250									1	1
st_cn_outbreak_undead_civilian_10	object/mobile/outbreak_undead_civilian_42.iff	combat_npc	250									1	1
st_cn_outbreak_deathtrooper_1	object/mobile/outbreak_undead_deathtrooper_03_m.iff	combat_npc	250									1	1
st_cn_outbreak_deathtrooper_2	object/mobile/outbreak_undead_deathtrooper_18_m.iff	combat_npc	250									1	1
st_cn_outbreak_deathtrooper_3	object/mobile/outbreak_undead_deathtrooper_22_m.iff	combat_npc	250									1	1
st_cn_outbreak_deathtrooper_4	object/mobile/outbreak_undead_deathtrooper_01_f.iff	combat_npc	250									1	1
st_cn_outbreak_deathtrooper_5	object/mobile/outbreak_undead_deathtrooper_06_m.iff	combat_npc	250									1	1
st_cn_outbreak_deathtrooper_6	object/mobile/outbreak_undead_deathtrooper_02_f.iff	combat_npc	250									1	1
st_cn_outbreak_undead_prisoner_1	object/mobile/outbreak_undead_prisoner_m_hum_01.iff	combat_npc	250									1	1
st_cn_outbreak_undead_prisoner_2	object/mobile/outbreak_undead_prisoner_m_monc_01.iff	combat_npc	250									1	1
st_cn_outbreak_undead_prisoner_3	object/mobile/outbreak_undead_prisoner_m_rod_01.iff	combat_npc	250									1	1
st_cn_outbreak_undead_prisoner_4	object/mobile/outbreak_undead_prisoner_m_twi_01.iff	combat_npc	250									1	1
st_cn_outbreak_undead_prisoner_5	object/mobile/outbreak_undead_prisoner_m_wke_02.iff	combat_npc	250									1	1
st_cn_outbreak_undead_prisoner_6	object/mobile/outbreak_undead_prisoner_m_zab_02.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_1	object/mobile/outbreak_undead_scientist_f_hum_01.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_2	object/mobile/outbreak_undead_scientist_m_hum_01.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_3	object/mobile/outbreak_undead_scientist_f_hum_08.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_4	object/mobile/outbreak_undead_scientist_f_hum_11.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_5	object/mobile/outbreak_undead_scientist_f_hum_05.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_6	object/mobile/outbreak_undead_scientist_f_hum_07.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_7	object/mobile/outbreak_undead_scientist_m_hum_04.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_8	object/mobile/outbreak_undead_scientist_m_hum_07.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_9	object/mobile/outbreak_undead_scientist_m_hum_09.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_10	object/mobile/outbreak_undead_scientist_m_hum_11.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_11	object/mobile/outbreak_undead_scientist_m_hum_14.iff	combat_npc	250									1	1
st_cn_outbreak_undead_scientist_12	object/mobile/outbreak_undead_scientist_m_hum_16.iff	combat_npc	250									1	1
st_cn_outbreak_undead_rancor	object/mobile/outbreak_afflicted_blackwing_rancor_boss.iff	combat_npc	250									1	1
